# ------------------------------------------------------------
# VO Data Model Summary
#   + Maps Spectral2.0 model element to Specturm1.1 Utypes
# ------------------------------------------------------------
Title=Spectrum Version 1.1
Name=Spectrum-1.1
Prefix=spec
URL=http://www.ivoa.net/xml/Spectrum/Spectrum-1.1.xsd
#
#
# Model Path                                                                                                                    & Type                     & Tag                                                                    & UCD                                           & Default                   & Unit                 & Description                              & REQ  
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  SpectralDataset_CoordSys_CoordFrames[].RedshiftFrame_ReferencePosition                                                        & String                   & Spectrum.CoordSys.RedshiftFrame.RefPos                                 &                                               & UNKNOWN                   &                      & Redshift frame origin                    & OPT  
  SpectralDataset_CoordSys_CoordFrames[].RedshiftFrame_DopplerDefinition                                                        & String                   & Spectrum.CoordSys.RedshiftFrame.DopplerDefinition                      &                                               & UNKNOWN                   &                      & Opt, Radio, or Rel.                      & OPT  
  SpectralDataset_Curation                                                                                                      & Curation                 & Spectrum.Curation                                                      &                                               &                           &                      &                                          &      
  SpectralDataset_Curation_Contact                                                                                              & Contact                  & Spectrum.Curation.Contact                                              &                                               &                           &                      &                                          &      
  SpectralDataset_Curation_Contact_Email                                                                                        & String                   & Spectrum.Curation.Contact.Email                                        & meta.ref.url;meta.email                       & UNKNOWN                   &                      & Contact email                            & OPT  
  SpectralDataset_Curation_Contact_Name                                                                                         & String                   & Spectrum.Curation.Contact.Name                                         & meta.bib.author;meta.curation                 & UNKNOWN                   &                      & Contact name                             & OPT  
  SpectralDataset_Curation_Date                                                                                                 & String                   & Spectrum.Curation.Date                                                 &                                               & UNKNOWN                   &                      & Date curated dataset last modified       & OPT  
  SpectralDataset_Curation_Version                                                                                              & String                   & Spectrum.Curation.Version                                              & meta.version;meta.curation                    & UNKNOWN                   &                      & Version info                             & OPT  
  SpectralDataset_Curation_Publisher                                                                                            & String                   & Spectrum.Curation.Publisher                                            & meta.curation                                 &                           &                      & Publisher                                & MAN  
  SpectralDataset_Curation_PublisherID                                                                                          & URI                      & Spectrum.Curation.PublisherID                                          & meta.ref.url;meta.curation                    & UNKNOWN                   &                      & URI for VO Publisher                     & OPT  
  SpectralDataset_Curation_PublisherDID                                                                                         & URI                      & Spectrum.Curation.PublisherDID                                         & meta.ref.url;meta.curation                    &                           &                      & Publisher ID for the dataset ID          & REC  
  SpectralDataset_Curation_Rights                                                                                               & String                   & Spectrum.Curation.Rights                                               &                                               & Public                    &                      & Restrictions: public, proprietary, mixed & REC  
  SpectralDataset_Curation_References[]                                                                                         & String                   & Spectrum.Curation.Reference                                            & meta.bib.bibcode                              & UNKNOWN                   &                      & URL or Bibcode for documentation         & REC  
  SpectralDataset_DataID                                                                                                        & DataID                   & Spectrum.DataID                                                        &                                               &                           &                      &                                          &      
  SpectralDataset_DataID_Title                                                                                                  & String                   & Spectrum.DataID.Title                                                  & meta.title;meta.dataset                       &                           &                      & Dataset Title                            & MAN  
  SpectralDataset_DataID_Creator                                                                                                & String                   & Spectrum.DataID.Creator                                                &                                               & UNKNOWN                   &                      & VO Creator ID                            & OPT  
  SpectralDataset_DataID_Collections[]                                                                                          & String                   & Spectrum.DataID.Collection                                             &                                               &                           &                      & Collection name(s)                       & OPT  
  SpectralDataset_DataID_DatasetID                                                                                              & URI                      & Spectrum.DataID.DatasetID                                              & meta.id;meta.dataset                          & UNKNOWN                   &                      & IVOA Dataset ID                          & OPT  
  SpectralDataset_DataID_CreatorDID                                                                                             & URI                      & Spectrum.DataID.CreatorDID                                             & meta.id                                       &                           &                      & Creator ID for the dataset               & OPT  
  SpectralDataset_DataID_Date                                                                                                   & String                   & Spectrum.DataID.Date                                                   & time;meta.dataset                             & UNKNOWN                   &                      & Data processing/creation date            & OPT  
  SpectralDataset_DataID_Version                                                                                                & String                   & Spectrum.DataID.Version                                                & meta.version;meta.dataset                     & UNKNOWN                   &                      & Version of dataset                       & OPT  
  SpectralDataset_DataID_CreationType                                                                                           & String                   & Spectrum.DataID.CreationType                                           &                                               & Archival                  &                      & Dataset creation type (archive,cutout,derived) & OPT  
  SpectralDataset_DataID_Logo                                                                                                   & URL                      & Spectrum.DataID.Logo                                                   & meta.ref.url                                  & UNKNOWN                   &                      & URL for creator logo                     & OPT  
  SpectralDataset_DataID_Contributors[]                                                                                         & String                   & Spectrum.DataID.Contributor                                            &                                               & UNKNOWN                   &                      & Contributor(may be many)                 & OPT  
  SpectralDataset_DataID_Instrument                                                                                             & String                   & Spectrum.DataID.Instrument                                             & meta.id;instr                                 & UNKNOWN                   &                      & Instrument ID                            & OPT  
  SpectralDataset_DataID_Bandpass                                                                                               & String                   & Spectrum.DataID.Bandpass                                               & instr.bandpass                                & UNKNOWN                   &                      & Band                                     & OPT  
  SpectralDataset_DataID_DataSource                                                                                             & String                   & Spectrum.DataID.DataSource                                             &                                               & UNKNOWN                   &                      & Original data type                       & OPT  
  SpectralDataset_Derived                                                                                                       & Derived                  & Spectrum.Derived                                                       &                                               &                           &                      &                                          &      
  SpectralDataset_Derived_Redshift                                                                                              & Redshift                 & Spectrum.Derived.Redshift                                              &                                               &                           &                      &                                          &      
  SpectralDataset_Derived_Redshift_Accuracy                                                                                     & Accuracy                 & Spectrum.Derived.Redshift.Accuracy                                     &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Derived_Redshift_Accuracy_BinLow                                                                              & Double                   & Spectrum.Derived.Redshift.Accuracy.BinLow                              &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Derived_Redshift_Accuracy_BinHigh                                                                             & Double                   & Spectrum.Derived.Redshift.Accuracy.BinHigh                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Derived_Redshift_Accuracy_BinSize                                                                             & Double                   & Spectrum.Derived.Redshift.Accuracy.BinSize                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Derived_Redshift_Accuracy_StatError                                                                           & Double                   & Spectrum.Derived.Redshift.Accuracy.StatError                           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Derived_Redshift_Accuracy_StatErrLow                                                                          & Double                   & Spectrum.Derived.Redshift.Accuracy.StatErrLow                          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Derived_Redshift_Accuracy_StatErrHigh                                                                         & Double                   & Spectrum.Derived.Redshift.Accuracy.StatErrHigh                         &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Derived_Redshift_Accuracy_SysError                                                                            & Double                   & Spectrum.Derived.Redshift.Accuracy.SysError                            &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Derived_Redshift_Accuracy_Confidence                                                                          & Double                   & Spectrum.Derived.Redshift.Accuracy.Confidence                          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Derived_Redshift_Quality                                                                                      & Integer                  & Spectrum.Derived.Redshift.Quality                                      &                                               &                           &                      & Quality of redshift measurement          & OPT  
  SpectralDataset_Derived_Redshift_Resolution                                                                                   & Double                   & Spectrum.Derived.Redshift.Resolution                                   &                                               & NaN                       &                      & Resolution of redshift measurement       & OPT  
  SpectralDataset_Derived_Redshift_Value                                                                                        & Double                   & Spectrum.Derived.Redshift.Value                                        &                                               & NaN                       &                      & Measured redshift for spectrum           & OPT  
  SpectralDataset_Derived_SNR                                                                                                   & Double                   & Spectrum.Derived.SNR                                                   & stat.snr                                      & NaN                       &                      & Signal-to-noise for spectrum             & OPT  
  SpectralDataset_Derived_VarAmpl                                                                                               & Double                   & Spectrum.Derived.VarAmpl                                               & src.var.amplitude;arith.ratio                 & NaN                       &                      & Variability amplitude as fraction of mean & OPT  
  SpectralDataset_Target                                                                                                        & Target                   & Spectrum.Target                                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Target_Name                                                                                                   & String                   & Spectrum.Target.Name                                                   & meta.id;src                                   & UNKNOWN                   &                      & Target name                              & REC  
  SpectralDataset_Target_Description                                                                                            & String                   & Spectrum.Target.Description                                            & meta.note;src                                 & UNKNOWN                   &                      & Target descriptive text                  & OPT  
  SpectralDataset_Target_TargetClass                                                                                            & String                   & Spectrum.Target.Class                                                  & src.class                                     & UNKNOWN                   &                      & Target or object class                   & OPT  
  SpectralDataset_Target_SpectralClass                                                                                          & String                   & Spectrum.Target.SpectralClass                                          & src.spType                                    & UNKNOWN                   &                      & Object spectral class                    & OPT  
  SpectralDataset_Target_Redshift                                                                                               & Double                   & Spectrum.Target.Redshift                                               & src.redshift                                  & UNKNOWN                   &                      & Target redshift                          & OPT  
