# ------------------------------------------------------------
# VO Data Model Summary
#   + Maps Spectral2.0 model element to Specturm1.1 Utypes
# ------------------------------------------------------------
Title=Spectrum Version 1.1
Name=Spectrum-1.1
Prefix=spec
URL=http://www.ivoa.net/xml/Spectrum/Spectrum-1.1.xsd
#
#
# Model Path                                                                                                                    & Type                     & Tag                                                                    & UCD                                           & Default                   & Unit                 & Description                              & REQ  
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Accuracy_SysError                                        & Double                   & Spectrum.Char.FluxAxis.Accuracy.SysError                               & stat.error.sys;phot.flux.density;em.*         & NaN                       &                      & Systematic error                         & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Accuracy_Confidence                                      & Double                   & Spectrum.Char.FluxAxis.Accuracy.Confidence                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage                                                 & Coverage                 & Spectrum.Char.FluxAxis.Coverage                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Bounds                                          & Bounds                   & Spectrum.Char.FluxAxis.Coverage.Bounds                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Bounds_Extent                                   & Double                   & Spectrum.Char.FluxAxis.Coverage.Bounds.Extent                          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Bounds_Start                                    & Double                   & Spectrum.Char.FluxAxis.Coverage.Bounds.Start                           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Bounds_Stop                                     & Double                   & Spectrum.Char.FluxAxis.Coverage.Bounds.Stop                            &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location                                        & Location                 & Spectrum.Char.FluxAxis.Coverage.Location                               &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Accuracy                               & Accuracy                 & Spectrum.Char.FluxAxis.Coverage.Location.Accuracy                      &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Accuracy_BinLow                        & Double                   & Spectrum.Char.FluxAxis.Coverage.Location.Accuracy.BinLow               &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Accuracy_BinHigh                       & Double                   & Spectrum.Char.FluxAxis.Coverage.Location.Accuracy.BinHigh              &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Accuracy_BinSize                       & Double                   & Spectrum.Char.FluxAxis.Coverage.Location.Accuracy.BinSize              &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Accuracy_StatError                     & Double                   & Spectrum.Char.FluxAxis.Coverage.Location.Accuracy.StatError            &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Accuracy_StatErrLow                    & Double                   & Spectrum.Char.FluxAxis.Coverage.Location.Accuracy.StatErrLow           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Accuracy_StatErrHigh                   & Double                   & Spectrum.Char.FluxAxis.Coverage.Location.Accuracy.StatErrHigh          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Accuracy_SysError                      & Double                   & Spectrum.Char.FluxAxis.Coverage.Location.Accuracy.SysError             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Accuracy_Confidence                    & Double                   & Spectrum.Char.FluxAxis.Coverage.Location.Accuracy.Confidence           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Resolution                             & Double                   & Spectrum.Char.FluxAxis.Coverage.Location.Resolution                    &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Location_Value                                  & Double                   & Spectrum.Char.FluxAxis.Coverage.Location.Value                         &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Support                                         & Support                  & Spectrum.Char.FluxAxis.Coverage.Support                                &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Support_Area                                    & String                   & Spectrum.Char.FluxAxis.Coverage.Support.Area                           &                                               & UNKNOWN                   &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Coverage_Support_Extent                                  & Double                   & Spectrum.Char.FluxAxis.Coverage.Support.Extent                         &                                               & NaN                       &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_SamplingPrecision                                        & SamplingPrecision        & Spectrum.Char.FluxAxis.SamplingPrecision                               &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_SamplingPrecision_SampeExtent                            & Double                   & Spectrum.Char.FluxAxis.SamplingPrecision.SamplingExtent                &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_SamplingPrecision_SamplingPrecisionRefVal                & SamplingPrecisionRefVal  & Spectrum.Char.FluxAxis.SamplingPrecision.SamplingPrecisionRefVal       &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_SamplingPrecision_SamplingPrecisionRefVal_FillFactor     & Double                   & Spectrum.Char.FluxAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor &                                          &                           &                      &                                          & OPT  
#
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis                                                       & SpatialCharAxis          & Spectrum.Char.SpatialAxis                                              &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Name                                                  & String                   & Spectrum.Char.SpatialAxis.Name                                         & meta.id                                       & Sky                       &                      & name for spatial axis                    & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_UCD                                                   & String                   & Spectrum.Char.SpatialAxis.ucd                                          & meta.ucd                                      & pos.eq                    &                      & ucd for spatial coord                    & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Unit                                                  & String                   & Spectrum.Char.SpatialAxis.unit                                         & meta.unit                                     & deg                       &                      & Unit for spatial coord                   & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Calibration                                           & String                   & Spectrum.Char.SpatialAxis.Calibration                                  & meta.code.qual                                & CALIBRATED                &                      & Type of coord calibration                & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Resolution                                            & Double                   & Spectrum.Char.SpatialAxis.Resolution                                   & pos.angResolution                             & NaN                       &                      & Spatial resolution of data               & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Accuracy                                              & Accuracy                 & Spectrum.Char.SpatialAxis.Accuracy                                     &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Accuracy_BinLow                                       & Double                   & Spectrum.Char.SpatialAxis.Accuracy.BinLow                              &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Accuracy_BinHigh                                      & Double                   & Spectrum.Char.SpatialAxis.Accuracy.BinHigh                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Accuracy_BinSize                                      & Double                   & Spectrum.Char.SpatialAxis.Accuracy.BinSize                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Accuracy_StatError                                    & Double                   & Spectrum.Char.SpatialAxis.Accuracy.StatError                           & stat.error;pos.eq                             & NaN                       &                      & Astrometric statistical error            & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Accuracy_StatErrLow                                   & Double                   & Spectrum.Char.SpatialAxis.Accuracy.StatErrLow                          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Accuracy_StatErrHigh                                  & Double                   & Spectrum.Char.SpatialAxis.Accuracy.StatErrHigh                         &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Accuracy_SysError                                     & Double                   & Spectrum.Char.SpatialAxis.Accuracy.SysError                            & stat.error.sys;pos.eq                         & NaN                       &                      & Systematic error                         & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Accuracy_Confidence                                   & Double                   & Spectrum.Char.SpatialAxis.Accuracy.Confidence                          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage                                              & Coverage                 & Spectrum.Char.SpatialAxis.Coverage                                     &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Bounds                                       & Bounds                   & Spectrum.Char.SpatialAxis.Coverage.Bounds                              &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Bounds_Extent                                & Double                   & Spectrum.Char.SpatialAxis.Coverage.Bounds.Extent                       & instr.fov                                     &                           &                      & Aperture angular size, deg               & MAN  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Bounds_Start                                 & Double                   & Spectrum.Char.SpatialAxis.Coverage.Bounds.Start                        &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Bounds_Stop                                  & Double                   & Spectrum.Char.SpatialAxis.Coverage.Bounds.Stop                         &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location                                     & Location                 & Spectrum.Char.SpatialAxis.Coverage.Location                            &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Accuracy                            & Accuracy                 & Spectrum.Char.SpatialAxis.Coverage.Location.Accuracy                   &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Accuracy_BinLow                     & Double                   & Spectrum.Char.SpatialAxis.Coverage.Location.Accuracy.BinLow            &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Accuracy_BinHigh                    & Double                   & Spectrum.Char.SpatialAxis.Coverage.Location.Accuracy.BinHigh           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Accuracy_BinSize                    & Double                   & Spectrum.Char.SpatialAxis.Coverage.Location.Accuracy.BinSize           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Accuracy_StatError                  & Double                   & Spectrum.Char.SpatialAxis.Coverage.Location.Accuracy.StatError         &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Accuracy_StatErrLow                 & Double                   & Spectrum.Char.SpatialAxis.Coverage.Location.Accuracy.StatErrLow        &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Accuracy_StatErrHigh                & Double                   & Spectrum.Char.SpatialAxis.Coverage.Location.Accuracy.StatErrHigh       &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Accuracy_SysError                   & Double                   & Spectrum.Char.SpatialAxis.Coverage.Location.Accuracy.SysError          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Accuracy_Confidence                 & Double                   & Spectrum.Char.SpatialAxis.Coverage.Location.Accuracy.Confidence        &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Resolution                          & Double                   & Spectrum.Char.SpatialAxis.Coverage.Location.Resolution                 &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Location_Value                               & Double                   & Spectrum.Char.SpatialAxis.Coverage.Location.Value                      & pos.eq                                        &                           &                      & Position, usually ICRS                   & MAN  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Support                                      & Support                  & Spectrum.Char.SpatialAxis.Coverage.Support                             &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Support_Area                                 & String                   & Spectrum.Char.SpatialAxis.Coverage.Support.Area                        &                                               & UNKNOWN                   &                      & Aperture region                          & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_Coverage_Support_Extent                               & Double                   & Spectrum.Char.SpatialAxis.Coverage.Support.Extent                      & instr.fov                                     & NaN                       &                      & Field of view area, sq deg               & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_SamplingPrecision                                     & SamplingPrecision        & Spectrum.Char.SpatialAxis.SamplingPrecision                            &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_SamplingPrecision_SampleExtent                        & Double                   & Spectrum.Char.SpatialAxis.SamplingPrecision.SamplingExtent             & phys.angSize;instr.pixel                      &                           &                      & spatial bin size                         & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_SamplingPrecision_SamplingPrecisionRefVal             & SamplingPrecisionRefVal  & Spectrum.Char.SpatialAxis.SamplingPrecision.SamplingPrecisionRefVal    &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpatialCharAxis_SamplingPrecision_SamplingPrecisionRefVal_FillFactor  & Double                   & Spectrum.Char.SpatialAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor  & stat.filling;pos.eq                  & 1.0                       &                      & Sampling Filling factor                  & OPT  
#
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis                                                      & SpectralCharAxis         & Spectrum.Char.SpectralAxis                                             &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Name                                                 & String                   & Spectrum.Char.SpectralAxis.Name                                        &                                               & SpectralCoord             &                      & name for spectral axis                   & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_UCD                                                  & String                   & Spectrum.Char.SpectralAxis.ucd                                         & meta.ucd                                      &                           &                      & ucd for spectral coord                   & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Unit                                                 & String                   & Spectrum.Char.SpectralAxis.unit                                        & meta.unit                                     &                           &                      & Unit for spectral coord                  & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Calibration                                          & String                   & Spectrum.Char.SpectralAxis.Calibration                                 & meta.code.qual                                & CALIBRATED                &                      & Type of coord calibration                & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Resolution                                           & Double                   & Spectrum.Char.SpectralAxis.Resolution                                  & spect.resolution;em.*                         &                           &                      & Spectral resolution FWHM                 & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_ResPower                                             & Double                   & Spectrum.Char.SpectralAxis.ResPower                                    & spect.resolution                              & NaN                       &                      & Spectral resolving power                 & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Accuracy                                             & Accuracy                 & Spectrum.Char.SpectralAxis.Accuracy                                    &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Accuracy_BinLow                                      & Double                   & Spectrum.Char.SpectralAxis.Accuracy.BinLow                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Accuracy_BinHigh                                     & Double                   & Spectrum.Char.SpectralAxis.Accuracy.BinHigh                            &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Accuracy_BinSize                                     & Double                   & Spectrum.Char.SpectralAxis.Accuracy.BinSize                            & em.*;spect.binSize                            & NaN                       &                      & Wavelength bin size                      & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Accuracy_StatError                                   & Double                   & Spectrum.Char.SpectralAxis.Accuracy.StatError                          & stat.error;em.*                               & 0.0                       &                      & Spectral coord measurement error         & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Accuracy_StatErrLow                                  & Double                   & Spectrum.Char.SpectralAxis.Accuracy.StatErrLow                         &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Accuracy_StatErrHigh                                 & Double                   & Spectrum.Char.SpectralAxis.Accuracy.StatErrHigh                        &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Accuracy_SysError                                    & Double                   & Spectrum.Char.SpectralAxis.Accuracy.SysError                           & stat.error.sys;em.*                           & 0.0                       &                      & Spectral coord measurement error         & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Accuracy_Confidence                                  & Double                   & Spectrum.Char.SpectralAxis.Accuracy.Confidence                         &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage                                             & Coverage                 & Spectrum.Char.SpectralAxis.Coverage                                    &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Bounds                                      & Bounds                   & Spectrum.Char.SpectralAxis.Coverage.Bounds                             &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Bounds_Extent                               & Double                   & Spectrum.Char.SpectralAxis.Coverage.Bounds.Extent                      & instr.bandwidth                               &                           &                      & Width of spectrum in A or other spec. coord. & MAN  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Bounds_Start                                & Double                   & Spectrum.Char.SpectralAxis.Coverage.Bounds.Start                       & em.*;stat.min                                 &                           &                      & Start in spectral coordinate             & MAN  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Bounds_Stop                                 & Double                   & Spectrum.Char.SpectralAxis.Coverage.Bounds.Stop                        & em.*;stat.max                                 &                           &                      & Stop in spectral coordinate              & MAN  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location                                    & Location                 & Spectrum.Char.SpectralAxis.Coverage.Location                           &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Accuracy                           & Accuracy                 & Spectrum.Char.SpectralAxis.Coverage.Location.Accuracy                  &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Accuracy_BinLow                    & Double                   & Spectrum.Char.SpectralAxis.Coverage.Location.Accuracy.BinLow           &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Accuracy_BinHigh                   & Double                   & Spectrum.Char.SpectralAxis.Coverage.Location.Accuracy.BinHigh          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Accuracy_BinSize                   & Double                   & Spectrum.Char.SpectralAxis.Coverage.Location.Accuracy.BinSize          &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Accuracy_StatError                 & Double                   & Spectrum.Char.SpectralAxis.Coverage.Location.Accuracy.StatError        &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Accuracy_StatErrLow                & Double                   & Spectrum.Char.SpectralAxis.Coverage.Location.Accuracy.StatErrLow       &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Accuracy_StatErrHigh               & Double                   & Spectrum.Char.SpectralAxis.Coverage.Location.Accuracy.StatErrHigh      &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Accuracy_SysError                  & Double                   & Spectrum.Char.SpectralAxis.Coverage.Location.Accuracy.SysError         &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Accuracy_Confidence                & Double                   & Spectrum.Char.SpectralAxis.Coverage.Location.Accuracy.Confidence       &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Resolution                         & Double                   & Spectrum.Char.SpectralAxis.Coverage.Location.Resolution                &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Location_Value                              & Double                   & Spectrum.Char.SpectralAxis.Coverage.Location.Value                     & em.*;instr.bandpass                           &                           &                      & Spectral coord value                     & MAN  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Support                                     & Support                  & Spectrum.Char.SpectralAxis.Coverage.Support                            &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Support_Extent                              & Double                   & Spectrum.Char.SpectralAxis.Coverage.Support.Extent                     & instr.bandwidth                               &                           &                      & Effective width of spectrum in A         & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_Coverage_Support_Area                                & String                   & Spectrum.Char.SpectralAxis.Coverage.Support.Area                       &                                               & UNKNOWN                   &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_SamplingPrecision                                    & SamplingPrecision        & Spectrum.Char.SpectralAxis.SamplingPrecision                           &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_SamplingPrecision_SampleExtent                       & Double                   & Spectrum.Char.SpectralAxis.SamplingPrecision.SamplingExtent            & em.*;spect.binSize                            &                           &                      & Wavelength bin size                      & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_SamplingPrecision_SamplingPrecisionRefVal            & SamplingPrecisionRefVal  & Spectrum.Char.SpectralAxis.SamplingPrecision.SamplingPrecisionRefVal   &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].SpectralCharAxis_SamplingPrecision_SamplingPrecisionRefVal_FillFactor & Double                   & Spectrum.Char.SpectralAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor & stat.filling;em.*                    & 1.0                       &                      & Sampling Filling factor                  & OPT  
#
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis                                                          & TimeCharAxis             & Spectrum.Char.TimeAxis                                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Name                                                     & String                   & Spectrum.Char.TimeAxis.Name                                            &                                               & Time                      &                      & name for time axis                       & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_UCD                                                      & String                   & Spectrum.Char.TimeAxis.ucd                                             & meta.ucd                                      & time                      &                      & ucd for time                             & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Unit                                                     & String                   & Spectrum.Char.TimeAxis.unit                                            & meta.unit                                     & d                         &                      & Unit for time                            & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Calibration                                              & String                   & Spectrum.Char.TimeAxis.Calibration                                     & meta.code.qual                                & CALIBRATED                &                      & Type of coord calibration                & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Resolution                                               & Double                   & Spectrum.Char.TimeAxis.Resolution                                      & time.resolution                               &                           &                      & Temporal resolution FWHM                 & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Accuracy                                                 & Accuracy                 & Spectrum.Char.TimeAxis.Accuracy                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Accuracy                                                 & Accuracy                 & Spectrum.Char.TimeAxis.Accuracy                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Accuracy_BinLow                                          & Double                   & Spectrum.Char.TimeAxis.Accuracy.BinLow                                 &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Accuracy_BinHigh                                         & Double                   & Spectrum.Char.TimeAxis.Accuracy.BinHigh                                &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Accuracy_BinSize                                         & Double                   & Spectrum.Char.TimeAxis.Accuracy.BinSize                                & time.interval                                 & NaN                       &                      & Time bin size                            & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Accuracy_StatError                                       & Double                   & Spectrum.Char.TimeAxis.Accuracy.StatError                              & stat.error;time                               & NaN                       &                      & Time coord measurement statistical error & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Accuracy_StatErrLow                                      & Double                   & Spectrum.Char.TimeAxis.Accuracy.StatErrLow                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Accuracy_StatErrHigh                                     & Double                   & Spectrum.Char.TimeAxis.Accuracy.StatErrHigh                            &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Accuracy_SysError                                        & Double                   & Spectrum.Char.TimeAxis.Accuracy.SysError                               & stat.error.sys;time                           & NaN                       &                      & Time coord measurement systematic error  & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Accuracy_Confidence                                      & Double                   & Spectrum.Char.TimeAxis.Accuracy.Confidence                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage                                                 & Coverage                 & Spectrum.Char.TimeAxis.Coverage                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Bounds                                          & Bounds                   & Spectrum.Char.TimeAxis.Coverage.Bounds                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Bounds_Extent                                   & Double                   & Spectrum.Char.TimeAxis.Coverage.Bounds.Extent                          & time.duration                                 &                           &                      & Total elapsed time                       & MAN  
  SpectralDataset_Characterization_CharacterizationAxes[].TimeCharAxis_Coverage_Bounds_Start                                    & Double                   & Spectrum.Char.TimeAxis.Coverage.Bounds.Start                           & time.start;obs.exposure                       & NaN                       &                      & Start time                               & REC  
